,CANT,DESCR,SUBTOTAL_PARTIDA
337,1,"TUB INOX 7/16""ØX42CM 3000W240V ""M"" BUS",1179.25
338,1,"TUB INOX 5/16""ØX38CM 3000W240V ""U"" TAP",1848.4
339,1,"TUB INOX 5/16""ØX38CM 3000W240V ""U"" TAP",1848.4
340,4,BAND P INOX 175MMx90MM 300W 110V TORNILL,1988.8
341,1,"TUBULAR  J"" 5/16"" 230MM 4500W 220V""",999.91
342,2,"PT-100 1/4""ØX12"" EXT1MT TEFLON 2 HILOS",1318.96
343,6,"BAN P INOX 11/2""X17"" 800W240V ESP-1/4""",2250.0
344,2,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,189.0
345,2,TERMOPAR J3/16 Ø X 1' 1/2 EXT.  1.5 MT,306.0
346,2,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,196.0
347,1,REPARACION DE BATIDOR 16.6KW 440V,14000.0
348,1,"TERMOPAR CERAMICO T/K"" LONG 24"" CAL 8""",732.0
349,2,"TUBULAR  J"" 5/16"" 230MM 4500W 220V""",1999.81
350,10,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 3 MT,2650.8
351,5,"TUB INOX 1/2""ØX1015MM 5KW 240V ""U"" ALETA",14175.0
352,2,"CB 3/4 X41"" DE LARGO 1300W 220 V",2495.0
353,1,"TER K 3/16""Øx7mm LONG EXT. 5 MTS T/PLICA",850.2
354,1,"BAN P INOX 5 1/2""X5 1/2"" 660W220V EX30CM",485.3
355,1,"BAN P INOX 5 1/2""X4 1/2"" 600W220V ESPEC",570.3
356,4,"TUB INOX. 5/16""Øx510mm CLIP 9KW 230V TAP",12386.0
357,2,"TUB INOX 1/4""Øx150MM 900W 220V ESP/NAYLA",3568.0
358,1,REPARACION DE HORNO 3500W220V,7903.2
359,3,"TUB ""U""7/16""ØX835mm EN BRIDA3""18KW440V.",10047.0
360,2,"P.CUARZO 19""LARGOx10"" ANCHO 5KW 480V",13800.0
361,1,"TUB INOX 5/16""ØX120CM 1250W 127V T/TOR",585.13
362,4,"CAS INOX 1/2""ØX 2 1/2"" 400W220V EXT.30CM",2244.0
363,4,"CAS INOX 1/2""ØX3"" 400W 240V EXT.30CM",2244.0
364,3,TK 6MMØX80CM EXT.50CM DOBLEZ 90° 4 HILOS,2130.0
365,1,BAN M/L COMUN 137mmØx82mm 800W 220V,579.66
366,1,"BAN P COMUN 1""X48"" 1000W 240V EXT.30CM",800.0
367,3,RES EN CINTA NICRO4.0X0.101-2.8OHMS LAMI,1185.0
368,6,BOE 45MMØX1360MM 3500W440V ROCHETA,18242.88
369,10,BOE 45MMØX900MM 3500W440V ROCHETA,23666.3
370,1,TERMOPAR J 3/16 Ø X1'  1/2 EXT.  8 MT,691.68
371,1,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 10 MT,862.33
372,1,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,120.0
373,2,BO ABIERTA ALAMBRE CAL. 6 40 KW 440 V,37000.0
374,25,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2 MT,3750.0
375,2,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2 MT,381.04
376,2,"TEA K Ø3/4""X450MM NPT3/4"" CAB M STD",3700.0
377,1,REPARACION DE TUBO DE CUARZO 500W127V,636.21
378,3,"TERMOPAR ""K"" C/ELEMENTO CAL.8 X750 MM",2754.0
379,8,"BAN COMUN  5""ØX6"" 1800W 240V  C/ALLEN",4200.0
380,2,"BAN COMUN 5""ØX4"" 1500W 240V C/ALLEN",990.0
381,2,BAN COMUN 178MMØX71MM ANCHO 1300W 240V,709.0
382,1,BAN COMUN 296MMØX71MM 2500W240V C/STD,354.5
383,3,"BAN P INOX 11/2""x85"" LONG 2200W 220V 9BA",6595.74
384,4,"BAN P INOX 1 1/2"" x50"" LONG 1200W 220V",5041.92
385,2,"BAN P INOX 1 1/2""X12"" 240V W-MAX",1560.5
386,2,"BAN P INOX 1 1/2""X14"" 240V W-MAX",1598.24
387,2,"BAN P INOX 1 1/2""X16"" 240V W-MAX",1643.78
388,2,"BAN P INOX 1 1/2""X18"" 240V W-MAX",1678.86
389,1,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2 MT,190.52
390,1,"BOQUILLA 11/2X1""1/2"" 300W 240V""",435.0
391,1,"TUB INOX 5/16""ØX45CM 750W 120V ""U"" T/TOR",527.59
392,1,"TUB INOX 3/8""ØX120CM 2083W 220V ""U"" TORN",1205.0
393,1,"TERMOPAR CERAMICO T/K"" LONG 18"" CAL 8""",704.5
394,18,"TUB INCOLOY 7/16""ØX305CM 2300W380V ESPEC",74700.0
395,2,TUB INOX 8MMØX3650MM 1134W 230V RECTA,1556.35
396,1,"TUB INOX 5/16""ØX120MM 1200W220V ""J"" PLAC",907.5
397,3,"TERMOPAR K 3/16Ø X 1'  1/2 EXT. 1 MT""",495.0
398,1,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 10 MT,862.35
399,1,"TUB COBRE 5/16""Øx145CM  1500W120V PLAC",1551.72
400,1,"MAQUINADO DE PERNO 9/32""ØX20MM LATON",538.79
401,1,REPARACION DE CREPERA-FAB CAJA DE CONEXI,387.93
402,1,REPARACION DE CREPERA,1020.0
403,60,BOBINA CAL.8 DSD C/TERMINALES EN INOX,77959.2
404,1,"BOQUILLA 11/2X1""1/2"" 300W 240V""",445.0
405,12,"TUB INOX. ALETA 7/16""Øx693mm 2000W 440 B",18156.0
406,12,"TUB INOX 5/16""Øx64CMS 700W220V.",6006.0
407,1,"TUB INOX 5/16""ØX25CM 1650W220V M ESP/BUS",1056.03
408,6,"CAS INOX 1/2""ØX3"" 400W 127V EXT.30CM",3375.0
409,6,"CAS INOX 1/2""ØX4"" 500W 127V EXT30CM",3879.6
410,25,"TUB. ENCAPSULADA 5/16Øx780mm 1500W 240V""",36882.5
411,1,"TUBULAR  U"" 1/2""Øx660mm 4500W440V 3pz""",3053.25
412,10,"TUB. ENCAPSULADA 5/16Øx780mm 1500W 240V""",14753.0
413,3,"TUBULAR  U"" 1/2""Øx660mm 4500W440V 3pz""",9159.75
414,18,TIRA INOX 38MMX1012MM 2000W 240V T/TIPOH,11160.0
415,2,"TUB INOX. 5/16""Øx330mm U 6KW 440V PLACA",3799.7
416,4,"TUB INOX 1/4""ØX355MM 4500W230V ES PLA-NV",9833.8
417,1,"TUB INOX 1/2""Øx68CM U 4000W 220V PLACA C",4956.73
418,3,"TUB INOX 3/8""Øx810mm LONG RECTA 500W220V",1972.5
419,1,GABINETE ELECTRICO DE 50X40X20 70KW 440V,20887.18
420,2,"TUB INOX 1/2""ØX147CM 35KW480V 2 1/2"" NPT",14274.0
421,1,TERMOPAR J 3/16 Ø X 1' 1/2 EXT.  5 MT,435.72
422,1,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,120.09
423,1,"BAN P INOX 10 1/4""X4 1/2"" 350W127V 1-IZQ",633.6
424,1,"BAN P INOX 10 1/4""X4 1/2"" 350W 127V T-TO",564.71
425,1,"BAN P INOX 10 1/4""X4 1/2"" 350W127V 3-DER",633.6
426,1,"BAN P INOX 9 1/4""X4 1/4"" 350W127V 2/TOR",498.65
427,1,"BAN P INOX 10""X 4 1/2"" 350W127V 1-IZQ",616.0
428,1,"BAN P INOX 10""X4 1/2"" 350W127V 3-DER",598.0
429,1,REPARACION PISTOLA DE CALOR 1680W 120V,862.0
430,3,"TUB RECTA 1/2""ØX800MMLON 1000W 73V T/TOR",2116.5
431,4,"TUB RECTA 1/2øX800mm 950W 140V""",2822.0
432,1,"TUB INOX 1/4""Øx355MM 4500W230V ESP/PLAC",2278.45
433,4,"TUB Ø 7/16 X 71 CM LONG ""U"" 3600W440V",9438.8
434,1,"TUB INOX 7/16""ØX35CM 1500W127V ""M"" ESP",1105.6
435,2,"BC PLANA 6""LARx4 1/4""ANC 2000W 220V C/TJ",4800.0
436,2,REPARACION DE TERMOPAR,3000.0
437,1,"BOQUILLA 11/2X1""1/2"" 300W 240V""",435.0
438,4,"PT-100 3/16""ØX11/2"" EXT3MTS TEFLON Z-PIN",3754.12
439,2,"BAN A COMUN 133MMØx11/2"" 900W 220V C/STD",810.4
440,1,"TERMOPAR K 3/16Ø X 1'  1/2 EXT. 3 MT""",357.76
441,5,"TUB INOX 5/16""x625mm 950W 220V U",3128.5
442,3,"TUB INOX. 5/16 Øx625mm 850W,220V U",1877.1
443,1,TERMOPAR J3/16 Ø X 1' 1/2 EXT.  1.5 MT,153.45
444,25,"TUB INOX 1/4""ØX62"" 950W 230V",5101.91
445,4,BC INOX 144MMØ X87MM 2100W 400V SIN/CAJA,7413.0
446,5,"PT-100 3/16""ØX1"" EXT.1MT T/PLICA CLAV-3H",2995.0
447,4,CAE 12.5MMØx312.42MMLONG 90° 1200W 220V,4400.0
448,2,"TUB INOX 7/16""ØX26CM 1500W220V U 11/2""NP",3982.12
449,1,CAS INOX 10MMØX60MM 500W 240V EXT30CM,535.12
450,2,"TUB INOX 7/16""ØX155CM 5KW 440V ""U"" 2""NPT",7858.22
451,1,"FAB DE TERMOPOZO 1/2""ØX768MMLOGITUD",188.0
452,1,"TUBULAR U"" 5/16"" 203MM 1500W 127V""",650.0
453,2,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8""",970.0
454,1,"TERMOPAR CERAMICO T/ K"" LONG 12"" CAL.14""",310.0
455,3,"TUB COBRE7/16Øx590mm ""U"" 5000W 220V C/B""",3191.49
456,1,TER J 6mmØx30mm 7 MTS DE LONG.,908.0
457,1,"TERMOPAR K 3/16Ø X 1'  1/2 EXT. 1 MT""",163.0
458,1,"TUB INOX 7/16""ØX47CM 9000W220V PLAC",2325.0
459,2,"TUE ""J"" INOX Ø 5/16 X 33 CM 5000 W 240 V",2700.0
460,2,"TER J 1/4""ØX4"" CON 1/2""-1/2""NPT BLOCK-CA",2010.0
461,1,"TER J 1/4""ØX15CM CON 1/2""-1/2"" C/MARINA",1005.0
462,1,"TUB INOX 7/16""Øx80.5CMS U 12KW 240V TAPO",2849.5
463,1,"TUB INOX 1/2""Øx410mm J 11KW 240V PLAQUIT",1265.09
464,10,"PT-100 1/4""ØX1/2"" EXT.5MT BOY-2G 3 HILOS",9006.9
465,1,"TUB INOX 5/16""ØX70CM 600W 127V RECTA",527.0
466,9,TUB ALETADA Ø 1/2 X 13 1/2 2000 W 220 V,11169.0
467,1,"TUB INOX 5/16""ØX27CM 2100W230V ""L"" PLACA",1120.69
468,6,"TUB INOX 5/16""ØX248MM CLIP 2400W 220V",4680.0
469,1,"TER J 1/4""ØX5"" CON 1/2""-1/2""NPT C/MARINA",867.03
470,1,"TUB INOX 5/16""ØX177MMØ 1900W220V PAR 9O°",940.0
471,1,"TUB INOX 5/16""ØX177MMØ 1900W220V PARRILL",940.0
472,25,"TUB INOX 1/4""ØX27"" 300W 230V",4103.6
473,1,REPARACION DE SECADOR 460W 120V,907.0
474,1,REPARACION BANDA S/BLINDAJE 1068W 120V,659.6
475,3,"TU ""U"" Ø 8 MM X 500 MM 3000 W 220V",4717.35
476,4,"TERMOPAR CERAMICO T/ K"" LONG 12"" CAL.14""",1240.0
477,4,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",6460.0
478,1,"RC 1/2""ØX40CM 650W127V T/TORNILLO",760.25
479,1,"TUB INOX 1/2""ØX670MM 22.5W480V BRIDA 6""",23995.24
480,2,"PT-100 5/16""ØX40CM CON1/2""NPT EXT10M PLI",5251.0
481,2,TERMOPAR J3/16 Ø X 1' 1/2 EXT.  1.5 MT,290.0
482,1,"TUB INOX 7/16""ØX307MMX50MM 800W220V BUSH",1035.0
483,2,BN INOX 46MMØX122MM 600W220V EXT30CM ALL,1224.0
484,5,"TUB INOX 5/16""ØX190MM 1250W127V TAP1""NPT",4125.0
485,2,"CAE INOX 3/4""ØX39CM 1800W240V 30CM CON1""",3059.38
486,6,"TEA K OJILLOX3MTS CON 1/2""-1/2""NPT",4220.7
487,1,BC PLANA 132MMX280MM 2000W240V OCTAGO-TJ,2750.0
488,3,"TUB ""U""7/16""ØX835mm EN BRIDA3""18KW440V.",10047.0
489,1,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,110.0
490,3,CAM INOX 10MMØX50MM 250W 240V EXT30CM,1307.91
491,2,CAM INOX 10MMØX50MM 300W 240V EXT30CM,982.06
492,2,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2.5 MT,360.0
493,1,"TERMOPAR K 3/16Ø X 1'  1/2 EXT. 1 MT""",163.0
494,1,BAN M/LUNA 208MMØX257MM 1350W127V EXT30,676.72
495,1,"TER J 1/4""Ø x3 1/2"" LONG EXT.1MT ZAP/ESP",1000.0
496,3,"TER J 1/4""Ø x3 1/2"" LONG EXT.1MT ZAP/ESP",3000.0
497,10,"TUB. INOX. 5/16 Øx615mm. 2000W 440V ""U""""",6952.0
498,1,"BOQUILLA 11/2X1""1/2"" 300W 240V""",462.0
499,20,"TUB INOX 1/4""ØX90"" 1350W 230V",4876.39
500,1,"CAS INOX 1/4""ØX2 1/2"" 200W 127V EXT30CM",468.1
501,2,"PT-100 3/16""ØX4"" CON1/2""-1/2"" NPT EXT5MT",2790.7
502,3,"TUB INOX ALETADA 1/2""Øx30CMS 1000W 480V",3111.3
503,18,"TUB INCOLOY 7/16""ØX305CM 2300W380V ESPEC",74700.0
504,6,"TUB INOX 5/16""ØX248MM CLIP 2400W 220V",4680.0
505,10,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2 MT,2500.0
506,4,BOB 8020 CAL.22 2.8MMØX2.3MTS 1800W 240V,5096.56
507,2,"CAE INOX 3/4""ØX39CM 1800W240V 30CM CON1""",3059.38
508,2,"TUB INOX 5/16""ØX240MM 1000W 120V BUS5/8",1610.0
509,1,"TUB INOX 7/16""ØX150MM 600W120V M PLAQ",812.0
510,1,"TUB INOX 1/4""ØX50CM 500W127V RECTA T/BAN",587.0
511,2,TERMOPAR J3/16 Ø X 1' 1/2 EXT.  1.5 MT,306.9
512,2,"TU ""U"" Ø 8 MM X 500 MM 3000 W 220V",3144.9
513,1,FAB RESISTENCIAS 11520W 480V EN BASE GAL,7402.72
514,2,"TUB INOX 1/2""ØX147CM 35KW480V 2 1/2"" NPT",14266.34
515,5,"TERMOPAR K 3/16Ø  X 1'  1/2 EXT. 2 MT""",1035.0
516,1,"TUB INOX. 5/16""Øx320mm 750W, 120V. U",622.0
517,1,"TUB INOX 5/16""ØX43CM1850W240V ""M ESP/TOR",1208.25
518,3,TIRA ALETADA 38MMX760MM 1960W230V T/TOR,7800.0
519,5,"TUB INOX 3/8""ØX395MM CIR/ALETA 8500W230V",31500.0
520,2,"TUB INOX 1/2""ØX246MM 3000W480V ""M"" BUSH",1970.0
521,1,"TUB INOX 7/16""ØX40.5CM 15KW240V PLA/ESP",3837.4
522,5,PT-100 6MMØX30MM EXT3MT BAY-2G RES/MALLA,4893.0
523,2,"P.CUARZO 19""LARGOx10"" ANCHO 5KW 480V",13800.0
524,1,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8""",420.69
525,1,BAN P INOX 258MMX385MM 3000W220V EXT3MT,1756.0
526,1,"TUB INOX 3/8""ØX35CM 3200W240V J TAP11/2""",1697.71
527,1,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8""",485.0
528,2,"TERMOPAR CERAMICO T/ K"" LONG 12"" CAL.14""",796.0
529,12,"CAE INOX 5/8""ØX73CM 2400W 240V RON/EXT1M",12264.0
530,2,"TUB INOX7 /16x115CMS CLIP15KW220V PLACA""",4994.0
531,7,"TUBULAR  ""U"" 5/16""Øx13.5"" 4500W480V 3pz",6832.0
532,4,"TUBULAR  U"" 1/2""Øx660mm 4500W440V 3pz""",12213.0
533,35,"TUB. ENCAPSULADA 5/16Øx780mm 1500W 240V""",51635.5
534,10,"TUBULAR  U"" 1/2""Øx660mm 4500W440V 3pz""",30532.5
535,1,"TUB INOX 1/2""ØX20""Ø 7000W240V ESPIRAL/BU",3395.0
536,10,"CAS INOX 3/8""ØX1 1/2"" 80W 127V EXT.30CM",4886.2
537,2,BB INOX 40MMØX80MM 400W 240V EXT.30CM,732.0
538,2,"TER T 3/16""ØX1 1/2"" EXT 1M TEFON/MALLA",553.82
539,6,"TERMOPAR K 3/16Ø  X 1'  1/2 EXT. 2 MT""",1242.0
540,1,"TERMOPAR CERAMICO T/K"" LONG 24"" CAL 8""",732.0
541,1,BOBINA 8020 44MMX180MM 150W220V AIS/CERA,427.0
542,2,ELEMENTO K CAL.8X131.6MM CERAM/BLOCK CER,1028.5
543,5,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8""",2425.0
544,1,"TERMOPAR CERAMICO T/ K"" LONG 12"" CAL.14""",310.0
545,1,"BAN P INOX 5 1/2""X4 1/2"" 600W220V ESPEC",893.0
546,17,"TUB INOX 1/4""ØX90"" 1350W 230V",4148.34
547,4,"TUB U"" 7/16 Ø X50 CM 10 KW 440 V DELTA""",11581.88
548,4,"TUB INOX 7/16""ØX510MM ""U""8000W 440V TAP",8744.0
549,1,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,120.12
550,6,"TUB INOX 7/16""Øx190mm 2000W 400V BUS/LAT",13065.0
551,2,BAN A/COMUN 165MMØX60MM 800W 254/440V,1246.4
552,10,"TERMOPAR K 3/16Ø  X 1'  1/2 EXT. 2 MT""",3308.5
553,1,"TUB INOX 3/8""ØX235MM 3300W 230V CLIP/PLA",2044.2
554,1,BAN P COMUN 45MMX390MM 1200W240V B/CERAM,648.3
555,1,REPARACION TERMINALES BANDA 1500W 220V,419.0
556,1,"TERMOPAR K 3/16Ø  X 1'  1/2 EXT. 2 MT""",225.0
557,1,"RC 1/2""ØX38.5CM 600W 120V T/TORNILLO CER",734.5
558,2,FABRICACION DE CRISOL 500W 127V 50-60HZ,27600.0
559,2,"TUB INOX 1/2""ØX25CM 1500W 127V ""M"" C/BUS",2316.38
560,15,"TERMOPAR K 3/16Ø  X 1'  1/2 EXT. 2 MT""",3105.0
561,1,REPARACION PORTA MATRAZ 1035W 115V,634.5
562,4,BOBINA 8020 44MMX180MM 150W220V AIS/CERA,1708.0
563,1,REPARACIÓN DE SELLADORA 30CM 146W 120V,301.07
564,1,"TUB INOX 7/16""ØX268MM 4KW270V 4 CLIP/PLA",1306.03
565,20,"TEA J"" 3/16""Øx22MM EXT2MT BAY2GIR/ADAPT",7100.0
566,6,"RC 1/2""Ø X 34"" LONG 1000W 12OV TE/GANCHO",8700.0
567,1,"TUBULAR  J"" 5/16"" 230MM 4500W 220V""",999.95
568,5,"FAB  DE TERMOPOZO 1/4""ØX22CM EN PLACA",2050.0
569,1,"TEA K 1/2""ØX18""X24"" ESCUADRA BLOCK/CMARI",2200.0
570,5,PT-100 6MMØX30MM EXT3MT BAY-2G RES/MALLA,4893.0
571,5,TEA J 6MMØX30MM EXT.2MT RESOR/BOY2G/CLAV,3660.0
572,1,TERMOPAR J3/16 Ø X 1' 1/2 EXT.  1.5 MT,153.25
573,1,"CAS INOX 1/2""ØX2"" 400W 240V EXT.1MT",663.88
574,1,"TUB INOX 1/2""ØX65.8CM 4500W260V M C/TJ",2025.2
575,6,"TEA K OJILLOX3MTS CON 1/2""-1/2""NPT",4220.7
576,5,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8""",2440.0
577,2,TERMOPAR J3/16 Ø X 1' 1/2 EXT.  1.5 MT,306.9
578,10,"TER J 3/16""ØX45MM LONG EXT.1MTLONG MALLA",9940.0
579,5,"TER K 3/16""ØX1"" EXT.7MTS MALLA  Z/ESPADA",2756.25
580,2,BC PLANA 132MMX280MM 2000W240V OCTAGO-TJ,5500.0
581,2,BB INOX 40MMØX51MM 300W 240V EXT.30CM,950.0
582,1,"TUB INOX 1/4""Øx355MM 4500W230V ESP/PLAC",2278.45
583,4,"CAE 9.4MMØx2""LONG ESC90°150W 220V Ext22""",1500.0
584,1,REPARACION DE HORNO 7000W 220V,6273.0
585,1,"TUB INOX 7/16""ØX30CM 300W127V RECTA/CERA",532.76
586,1,BAN P A/COMUN 185MMX245MM 1200W440V T/TO,605.4
587,2,"TUB INOX 5/16""ØX800MM 2000W127V ""J"" TBOY",1379.26
588,1,REPARACION EQUIPO COCINA 5000W 22OV,13776.88
589,2,"CAS INOX 5/8""ØX7"" 500W220V EXT.1MT MALLA",1867.7
590,2,"TER J OJILLO 3/16""Ø EXT1.5MTS MALLA/RESO",670.0
591,1,"TIRA P INOX 8 7/8""ØX11/2"" 1950W240V ALET",1944.0
592,1,"TIRA P INOX 12 1/2""ØX11/2"" 3100W240V ALE",2133.25
593,1,"BOQUILLA 11/2X1""1/2"" 300W 240V""",424.0
594,1,"TERMOPAR K DOBLE CAL8 x18 FUND INOX 316""",2068.5
595,1,"TERMOPAR K DOBLE CAL8 x18 FUND INOX 316""",2068.5
596,2,"TER EK DOBLE1/2Øx12""x24"" EN INOX-T316""",4928.4
597,2,"TER EK DOBLE1/2Øx12""x24"" EN INOX-T316""",4928.4
598,3,"TUB INOX 1/2""Øx90CMS U 25KW 440V TAPON 2",13740.0
599,1,REAPARACION DE HORNO 1800W 120V,2325.34
600,1,"TUB INOX 5/16""ØX15CMØ 1200W127V PARR/90°",564.1
601,4,"TUB INCOLOY 1/2""Øx412mm J 9KW 240V PLACA",6460.0
602,1,"TUB INOX 1/4""ØX455MM 1560W127V M ES/PLAC",1451.65
603,2,"TER J OJILLO 3/16""Ø EXT 5MT MALLA ZAP",1144.0
604,2,"TER J OJILLO 3/16""Ø EXT 10MT MALLA ZAP",1624.0
605,2,PT-100 6MMØX110MM EXT15MTS TEFLON/ZAP,3096.0
606,8,"PT-100 DE Ø 3/16 X4"" DE LONG. 80 CM",4976.0
607,5,"TUB INOX 7/16""Øx500mm U 3000W 220V BU5/8",4930.0
608,8,"TUB INOX 5/16""ØX142MM ""J"" 1000W120V SAND",9064.0
609,2,"PT-100 3/16""ØX11/2"" EXT3MTS TEFLON Z-PIN",1877.06
610,3,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,452.58
611,1,REPARACION HORNO 1500W 120V,474.14
612,4,"TUBULAR  U"" 1/2""Øx660mm 4500W440V 3pz""",12213.0
613,1,"TUB INOX 3/8""ØX186.5CM ""U"" 3000W220V CAP",1526.77
614,6,"TUB INOX 7/16""ØX498MM 3000W220V M ESP/PL",6528.0
615,60,CAS INOX 18.5MMØX205MM 950W 440V EXT30CM,77760.0
616,1,"TUB INOX 3/8""ØX775MM 850W 120V RECTA TOR",689.0
617,20,"TER J 1/8""Øx115mm LONG EXT. DE 1220mm CL",11560.0
618,1,"BOQUILLA 11/2X1""1/2"" 300W 240V""",385.0
619,15,CARTUCHO Ø 8 MM X340 MM 500W 220 V,6105.0
620,8,CARTUCHO Ø8MM X 260MM 500W 220V,4344.0
621,6,CARTUCHO Ø 10 MM X 460 MM 500W 220V,8190.0
622,1,FABRICACION TUB  J INOX 2000W 127V C/TE,1139.88
623,10,"CART INOX 1/2""Øx16CMS 700W 120V CABLE 50",7900.0
624,2,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2 MT,420.0
625,28,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 10 MT,24145.8
626,1,"TEA J 3/16""ØX12"" CONEC-5/16""ØX1"" EXT1MT",617.2
627,2,"TERMOPAR CERAMICO T/K"" LONG 24"" CAL 8""",1464.0
628,2,"TUB INOX 5/16""ØX30CM 800W 240V U DOB90°",1165.86
629,3,"TUB INOX 5/16""ØX30CM 800W 240V U DOB90°",1748.79
630,1,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 3 MT,265.08
631,2,"CAS INOX 5/8""ØX3 1/2"" 300W 127V EXT30CM",1185.0
632,3,"TUBULAR U"" 5/16"" 203MM 1500W 127V""",1926.0
633,2,BAN P INOX 80MMØX255MM 450W 220V T/TOR,1988.8
634,2,"CART INOX 1/2""Øx3"" 250W 230V CABLE STD",1265.0
635,6,"TUB ALET U 5/16""ØX470MM 1000W 440V BUS/L",5880.0
636,4,"BANDA MED. LUNA 22.1/2""x6"" 3kW 460V",4522.0
637,2,CAS 12MMØX312MM 300W110V ESCUAD EXT102CM,1680.0
638,4,"TUB INOX 5/16""ØX25CM 1000W127V 1""NPTCAJA",7370.0
639,2,"TUB INOX 5/16""ØX25CM 250OW127V 1""NPTCAJA",3829.0
640,10,"TUB INOX 5/16Øx1790mm 1300W 220V BUSHIG""",12393.0
641,8,"CARTUCHO 3/8"" X 8"" 250W, 240V. TUBO PLIC",8376.0
642,5,"CBE INOX 3/8""ØX8"" 250W 240V EXT42"" 37""PL",4825.0
643,2,"TER K 1/4""ØX3/4"" TORNILLO/LOCO EXT.80CM",1032.0
644,1,TERMOPAR J 3/16 Ø X 1' 1/2 EXT.  5 MT,453.24
645,5,TUBULAR 11mmØx850mm 6kW 500V 6pz,38063.65
646,16,"TUB ALET U 5/16""ØX470MM 1000W 440V BUS/L",15680.0
647,6,CAS INOX 12MMØX230MM 950W440V EXT.30CM,5460.0
648,1,"TUB COBRE 5/16""Øx250mm CLIP 2600W 110VTA",1140.86
649,4,"AK DOBLE 3/16""ØX530MM PLACA-CER4POLOS",3000.0
650,2,"TUB INOX 5/16""ØX23CM 500W127V CLIP 11/4""",4210.6
651,1,"CBE INOX 1/2""ØX120MM 110W115V EX50CM CON",775.6
652,2,TER J 4MMØX65MM EXT1M MALLA INOX TRAN6MM,801.28
653,2,"TUBULAR  J"" 5/16"" 230MM 4500W 220V""",1999.81
654,36,TUB ESP 10MMØX1985MM 1000W 440V BUS/SOPO,52200.0
655,1,"TUB INOX 1/2""ØX75CM ""U"" 30KW440V BRIDA6""",12500.0
656,2,BAN A/COMUN 165MMØX89MM 1200W440V C/STD,1288.0
657,2,BAN A/COMUN 258MMØX35MM 1000W440V T/TOR,1141.6
658,1,BAN P A/COMUN 185MMX245MM 1200W440V T/TO,605.4
659,1,"BOQUILLA 11/2X1""1/2"" 300W 240V""",425.0
660,1,REPARACION DE TERMINAL DE RESISTENCIA,563.5
661,1,"BOQUILLA 11/2X1""1/2"" 300W 240V""",424.0
662,12,"TUB INOX 5/16""ØX190MM 1250W127V TAP1""NPT",9900.0
663,1,"TUBULAR  J"" 5/16"" 230MM 4500W 220V""",999.91
664,1,REPARACION DE P/SERIGRAFIA  1800W 110V,739.66
665,10,"CAS INOX 5/8""ØX10"" 1200W 240V EXT1MT",9364.5
666,30,BOBINA CAL.8 DSD C/TERMINALES EN INOX,38979.6
667,1,"TUB INOX 7/16""ØX36CM 6000W 240V PLAC/CUE",3668.0
668,2,"CAS INOX 1/4""ØX2"" 175W240V EXT30CM C/TJ",1625.06
669,4,"TERMOPAR CERAMICO T/K"" LONG 12"" CAL 8""",1940.0
670,4,"TERMOPAR CERAMICO T/ K"" LONG 12"" CAL.14""",1500.0
671,4,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 3.5 MT,1206.0
672,1,REPARACION HORNO 15KW 440V TOTAL,32582.18
673,2,"TUB INOX 5/16""ØX15CM 537W 127V PARR/90°",1128.2
674,2,"TER J 1/4""ØX12"" CAB/MAR TERM-3/4""NPT",4436.0
675,1,"TUBULAR  J"" 5/16"" 230MM 4500W 220V""",999.91
676,1,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,94.5
677,1,"TUB INOX 3/8""ØX35CM 3200W240V J TAP11/2""",1697.71
678,2,"TUB INOX 1/2""ØX65.8CM 4500W260V M C/TJ",4050.4
679,4,"TUB INOX716Øx1421mm LONG ""M"" 3000W/220V""",3196.4
680,3,"TUBULAR U"" 5/16"" 203MM 1500W 127V""",1926.0
