,CANT,DESCR,SUBTOTAL_PARTIDA
78,6,"BOB 8020 CAL.13 13.7MMØX800MM ""U""GAZ30CM",8700.0
79,8,CARTUCHO 8MMØ X290MM 500W 220V,3320.0
80,10,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2.5 MT,2720.0
81,2,BAN INOX 103MMØX45MMØX65MM 400W255V ESP,2051.74
82,2,BAN M/L INOX 210mmØx70mm 650W 255V CABLE,3174.5
83,2,BAN M/LUNA 210MMØX70MM 1.6KW255V CLA-STD,5970.72
84,1,"TUB INOX 5/16""Øx120MTS LONG. 1000W 120V.",566.64
85,12,"TER J 1/8""Øx115mm LONG EXT. DE 1220mm CL",5178.0
86,12,"TER J 3/16""Øx8mm EXT. .90CMS CLAVIJA",6339.6
87,1,TER K 12MMØX22CM EXT8MT MAQ-ESPECIAL,1880.28
88,20,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2 MT,3000.0
89,1,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,98.0
90,3,"TUB INOX 7/16""ØX500MM 3000W240V BUS3/4""",2490.75
91,1,"CAS INOX 1/4""ØX1 1/4"" 100W 127V EXT.30CM",473.28
92,1,"TUB INOX 7/16""ØX280MM ""U"" 9000W260V PLAC",1659.6
93,1,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 1 MT,107.76
94,1,"TER K 1/8""ØX15CM EXT2MT MALLA INOX  ZAP",499.0
95,3,REPARACION DE SOLDADURA A PLACAS TUBULAR,2700.0
96,3,"TUB INOX 1/2""Øx500mm LONG ""U"" 2000W 220V",3567.0
97,3,"TUB INOX 5/16""Øx320mm 4000W 230V TAPON",4305.0
98,2,"CAS INOX 3/8""ØX2 1/2"" 175W 127V EXT.30CM",990.0
99,1,TERMOPAR J 3/16 Ø X 1' 1/2 EXT. 2 MT,125.0
100,1,"TERMOPAR K 3/16Ø  X 1'  1/2 EXT. 2 MT""",175.0
101,2,"PT-100 5/16""ØX40CM CON1/2""NPT EXT10M PLI",5251.0
102,2,"TER EK DOBLE1/2Øx12""x24"" EN INOX-T316""",4928.4
103,2,"TERMOPAR K DOBLE CAL8 x18 FUND INOX 316""",4137.0
